Descriptor,Aliases,DUNS
Kurskenergo,OAO Energetiki I Elektrifikatsii Kurskenergo|Kurskenergo|КУРСКЭНЕРГО|ОАО «Курскэнерго»,600754316
Kuusakoski Group Oy,Kuusakoski Oy|AS Kuusakoski|Stilexo Industri AB|Alteams Oy|Petromax|Kuusakoski AS|Eesti Metallieksport AS,368426235
Kyocera Korea Co. Ltd.,,
LA Agencia De Orci Y Asociados,LA AGENCIA DE ORCI & ASOCIADOS,161608823
LABORATOIRES FLORK,LABORATOIRES FLORK,265001990
LANE LISTER AND ASSOCIATES (ARCH),,215921915
LANGLEY LONDON,,210172771
LANGSIDE DISTILLERS,,
LANSTAR HOLDINGS LTD,Lancashire Tar Distillers,505440727
LANTRAX,,217284694
LASERCAD PRECISION MODELS,,232655357
LBS Landesbausparkasse Baden-Wuerttemberg,,
LEDtronics Inc,LED tronics Inc,115411845
LEE CROWDER AND COMPANY,,236341657
LEONG HUAT,,595141904
LEVAL AIR CONDITIONING COMPANY LTD,,215847757
LG Chem Ltd,"LG生命公司合作|LG생명과학|LG하우시스|LG Chem HK Ltd.|주식회사 엘지화학|LG Chemical (Guangzhou) Engineering Plastics Co.,Ltd.|LG生命科学公司|(주)씨텍|LG Life Science Ltd.|LG Chem Michigan Inc.|엘지생명과학|주식회사 엘지생명과학|LG화학|LG Chem (Nanjing) Information & Electronics Materials Co.,Ltd.|LG Chem America, Inc.|LG Polymers India Pvt. Ltd.|LG CHEM, LTD.|LG生命|LG生命科學|LG Chem (China) Investment Co.,Ltd.|LG Chem (Taiwan), Ltd.|LG生命科學公司|شركة إل جي كيم المحدودة|LG生命科学股份有限公司|乐金化学公司|ＬＧ　Ｌｉｆｅ　Ｓｃｉｅｎｃｅ社|(주)LG화학|엘지화학|LG Chem Europe GmbH|엘지하우시스|LG Life Science|Ningbo LG Yongxing Chemical Co.,Ltd.|LG Life Sciences|LG Hausys Limited|ＬＧ生命科学|LG生命科學股份有限公司|إل جي كيم المحدودة|LG生命公司|(주)행복누리|樂金化學公司|(주)엘지화학|Tianjin LG Bohai Chemical Co.,Ltd.|LG化学|LG生命科学|LGLS|LGChem|(주)엘지생명과학|주식회사 LG화학|ＬＧペトロケミカル|㈜엘지생명과학|LG Energy Solution",688279996
LG Informatica S/A,,901300962
LIFELINE MERCHANDISING,,234630515
LIKANTO OOO,,
LIN Media LLC,"WWLP TV|Federated Media Publishing|KASA-TV|LIN Holdings Corp|LIN Television Corporation|WPRI TV|WAPA TV|WLFI TV|WVBT TV|WOTV TV|Red McCombs Media, LP (“RM Media”)|LIN TV Corporation|WNLO TV|WIVB TV|WJPX TV|TVL Broadcasting of Rhode Island LLC|WOOD TV|WPRI-TV",103203431
LIVE PUBLISHING,,218304891
LIVING SPIRIT PICTURES,,503349102
LOGOPARK ZAVOLZHE OOO,,
LOLLAND FALSTERS BRYGHUS,,305582673
LONDON AND SHEFFIELD INDUSTRIAL FINANCE,,222217270
LONDON REGENERATION CONSORTIUM,,396991440
LOOKING GLASS SOFTWARE INC (CA),LOOKING GLASS SOFTWARE INC,188961544
LT Group Inc.,Asia Brewery Inc|Tanduay Distillers Inc|The LT Group|LT Group Incorporated|Philippine National Bank|Asian Pacific Equity Corp.,718924459
LTC Global Inc,"LTC Global Solutions Inc.|Senior Wealth Care Insurance Services|Glenn G. Geiger company Inc.|Westland Financial Services Incorporated|Charles T. Smith Companies of Florida, Inc|ACSIA Long Term Care|Charles T. Smith Insurance Agency, Inc|Specialty Planners|William L. McAree Insurance Agency, Inc.|North Coast Brokerage Agency, Inc.|Equipoint Financial Network Inc|Senior Global Solutions, LLC|NJ LTC|NJLTC|Insurance Producers Alliance of America, Inc.|McAree Agency|United Insurance Group Agency Inc.|A. M. Levin Insurance Associates Inc|American Insurance Marketing Services Inc|LTC Global, Inc.|DI Brokers Corporation|Gelbwaks Insurance Services",170061340
LUKOIL KOGALYNEF,,633180641
LUMATIC,,394666838
LYS,,374161727
La Kure Du Joi K.K.,,
La Rioja Alta SA,Rioja Santiago Winery|Viñedos y Bodegas Aster SA|Lagar de Fornelos SA|Torre de Oña SA,461029662
La Semeuse de Paris,,261455040
Label Energie,,
Laboratorios Lister SA,,880038393
"Lacerta Group, Inc.",,809183254
Lada Tsentr Na Lenina Ooo,,
Ladang Setia Sdn Bhd,,596219246
Ladbroke Productions (Radio) Ltd.,,290619436
Ladd Engineering Associates Inc,,047749833
Lahore Transport Company,,645677555
Laishan District Zongchen Store,,
Laitram LLC,Industrial Microwave Systems Llc,008193799
Laiyuan County Jinlong Mining Industry Co. Ltd.,,
Lakshmi Enterprises And H R Associates),,
Lambert Howarth Group PLC,LAMBERT HOWARTH GROUP|LAMBERT HOWARTH,212800791
Lamps Plus,,
Lanco Infratech Limited,Lanco Horizon Properties Pvt Ltd|The Griffin Coal Mining Company Pty Limited|Lanco Vidarbha Thermal Power Limited|Lanco Hills Technology Park Private Limited|Lanco Infratech Ltd|Lanco Resources|Lanco Kondapally Power Pte Ltd|DEG - Deutsche Investitions- und Entwicklungsgesellschaft mbH|Lanco Mahanadi Power Private Limited|Lanco Vidarbha Thermal Power Ltd.|Lanco Constructions Ltd|Carpenter Mine Management Pty Ltd|Lanco Kondapalli Power Pte Ltd|Lanco Hydro Energies|Lanco Infra Tech Ltd|Griffin Coal Mining,918500278
Landau Ford Lincoln Sales Limited,,
Lang & Schwarz AG,Lang und Schwarz Wertpapier|Lang und Schwarz Wertpapierhandelsbank AG|LANG & SCHWARZ WERTPAPIERHANDEL AG,315545678
Lang Stone Company Incorporated,,
Langage Farm LLP,,
Langfang Yanran Zhuanpan Clothing Co. Ltd.,,
Langham Works,Langham Works|Davies Little Cowley Fiddes|MBO London|DCLF,736736435
Languedoc Roussillon Materiaux,,
Lanna Resources Public Company Limited,Thai Agro Energy Public Company Limited|Lanna Lignite PCL|Lanna Resources Public Company Limited|Lanna Resources Plc|Lanna Resources PCL|Lanna Lignite|Lanna Lignite Plc,660730086
Lanxess AG,Lanxess India Pvt. Ltd.|Lanxess Deutschland GmbH|Darmex S.A.|Advanced Industrial Intermediates|Saltigo|Rhein Chemie Corporation|Rubicon LLC|Unitex Chemical Corporation|Petroflex SA|Intace SAS|Bond-Laminates GmbH|DSM Elastomers B.V.|Sybron Chemicals Inc.|朗盛集團|Lanxess India Pvt Ltd|Lanxess Elastomeres|Petroflex Industria e Comercio SA|Lanxess KK|朗盛集团|ランクセス株式会社|Rhein Chemie Rheinau GmbH|ARLANXEO Holding B.V.|ランクセスAG,329058502
Lanzhou Caikeli Commerce And Trade Co. Ltd.,,
Lap Phuong Thanh Production And Trading Joint Stock Company,Lap Phuong Thanh Production And Trading Joint Stock Company|Lap Phuong Thanh Production And Trading|Lap Phuong Thanh Production & Trading JSC|Lap Phuong Thanh Production & Trading,555387731
Laraib Energy Limited,,645477266
Larcomes LLP,,231716911
Laredo Oil Inc.,Laredo Mining Inc.|Stranded Oil Resources Corporation,962260563
Larsen & Toubro Oman LLC,Larsen & Toubro Oman LLC|L&T Oman LLC|L and T Oman|Larsen and Toubro Oman LLC,557926472
Las Vegas Gaming Inc,Las Vegas Gaming Inc|Imagineering Systems|LVGI,008055704
Laser Fare,LASER FARE HASBRO,621053487
Laser Rejuvenation Clinics Inc,Laser Rejuvenation Clinics Ltd,253293880
Last Gasp,,054595269
Lavezzari Group,,435401112
Lbm Advantage Inc.,,
Le*Nature's Inc.,,
"LeadMD, Inc",LeadMD Inc.|Marketing Engine,015324475
Leaderlease,,767625882
LeasePlan Deutschland GmbH,,388140345
Lectrosonics Inc,,052689361
Lee Cheong Gold Dealers Limited,,686148149
Leena Consultancy Ltd,,860038797
Legato Systems Inc,OTG Software Inc|LEGATO SYSTEMS INC|INNOVUS TECHNOLOGIES INC|OTG Software Inc.|Software Moguls Inc|SCH Technologies|LEGATO SYS INC|Qualix Group Inc.,602068561
Legend Oil & Gas Ltd.,"Senior Information Network|Black Diamond Energy Holdings, LLC|SIN Holdings Inc.|Legend Oil and Gas Ltd|The Senior Information Network|Senior-Inet.com|Maxxon Energy",098710606
"Leger, The Research Intelligence Group",Agility Metrics Inc.|Researchology|Claros Research Corp|Leger Marketing Inc|Leger The Research Intelligence Group,249209404
"Legg Mason Real Estate Services, Inc.",Legg Mason Real Estate Services,069034031
Legio Aandelen Wereld NV,,405460523
Legio Nieuwe Wereld NV,,405954491
Lehman Millet Inc,,094410453
Leigh Creek Energy Ltd.,,
Leningradsky Optiko Mekhanichesky Zavod,"ОАО ЛОМО|LOMO PLC|ЛОМО (Санкт-Петербург)|LOMO|Leningrad Mechanical Optics Association|Leningradskoe optiko mekhanicheskoe obedinenie|Leningradskoe optikomekhanicheskoe obedinenie LOMO|LOMO PJSC|Leningradsky Optiko Mekhanichesky Zavod|ОАО ""Ленинградское оптико-механическое объединение""|L O M O (ST PETERSBURG)|Leningrad Optomechanical Association|ЛОМО",644937336
Lepenski vir a.d. Donji Milanovac,Lepenski vir Donji Milanovac,360258336
Lernia AB,,357307362
Lernout & Hauspie Speech Products NV,LERNOUT & HAUSPIE SPEECH PRODUCTS USA INC|LERNOUT & HAUSPIE SPEECH PRODUCTS|LERNOUT & HAUSPIE SPEECH|LERNOUT & HAUSPIE|Globalink Inc.|LERNOUT & HAUSPIE SPEECH PRDCTS|LERNOUT & HAUSPIE SPEECH PROD|LERNOUT & HAUSPIE SPEECH PRODUCTS USA IN|LERNOUT & HAUSPIE SPEECH PRODUC|Lernout and Hauspie Speech Products N.V.|LERNOUT & HAUSPIE NV|LERNOUT & HAUSPIE SPEECH PRODS|Lernout and Hauspie|LERNOUT & HAUSPIE SPEECH PRODUCTS NV BELGIUM|BERKELEY SPEECH TECHNOLOGIES INC|LERNOUT & HAUSPIE SPEECH PRODUCTS NV,398826677
Leslie Hubble,,239904894
Lexington Biosciences Inc.,,203809293
LianBio ADR,,118233552
Lianping County Longjie Town Guanglong Firm,,
Lianyungang Texiang Trade Co. Ltd.,,
Liaoning Deshi Dairy Industry Co. Ltd.,,
Liases Foras Real Estate Rating & Research Private Limited,,863793838
Libbs Farmaceutica Ltda.,,899374052
Liberation Investment Group LLC,Liberation Investments LP,079021353
Liberty Distributors,,007250012
Licencias OnLine,Licencias OnLine Argentina|LicenciasOnLine.com,978214401
Lichtgitter Usa Inc.,,
Lido Bucuresti,Lido S.A.,684613987
Lieberman Research Worldwide Inc.,"Gaddis Partners, Ltd|Greenberg Inc|Kelton Research Llc|Killer Infographics|Greenberg Strategy|Salt Branding LLC|Tonic Insight Ltd.",069927648
Life's Time Capsule Services Inc.,"Hyperera Inc.|Life's Time Capsule Services, Inc.",115703639
LifeTech Scientific Corporation,"LIFETECH SCI|先健科技|先健科技公司|LifeTech Scientific (08122)|Lifetech Scientific (Shenzhen) Co., Ltd.|ﾗｲﾌﾃｯｸ・ｻｲｴﾝﾃｨﾌｨッｸ・ｺｰﾎﾟﾚｰｼｮﾝ|先健科技（深圳）有限公司|LifeTech Scientific Corp",529864170
Limagrain (Asuk) Limited,,
Limelight Platform Inc.,,079846250
Lindbergh SpA,,338408822
Link Staffing Services Corp,,
Linkwell Corp.,"Kirshner Entertainment & Technologies, Inc.|Mizar Energy Co.|HBOA Holdings Inc",059331350
Linqu Chenyuan Silk Products Factory,,
Lipetskaia enregosbytovaia kompaniia,"ОАО ""Липецкая энергосбытовая компания""|Lipetsk Energy Retail Company|Lipetskaia enregosbytovaia kompaniia",354807618
Liquid Thinking Inc.,DaVinci Software,169965915
Liquitek Enterprises Inc,VitroSeal Inc,003187155
Listed Index Fund China A Share (Panda) E Fund CSI300,,
LitePoint Corporation,ZTEC Instruments Inc.|LitePoint,112274951
Litografia Dortega S.A. De C.V.,,
Little Lady Foods,LITTLE LADY FOODS,025207622
Lixin County Liyou Petroleum Co. Ltd.,,
Liyuen Footwear Manufacturing Company Limited,,
Lizingovaya Kompaniya Likostroy OAO,,633198767
Llangaddock Estates,,516358926
Llc Salavatsteklo Kaspiy,,
Logos Smart Card A/S,,306633376
London Biscuits Bhd,倫敦食品有限公司|ロンドンビスケッツ|Kinos Food Industries (M) Sdn Bhd|Kinos Food Industries Sdn Bhd|伦敦食品有限公司|London Biscuits Berhad,652283672
London Camera Exchange (Holdings) Ltd,,225523505
London Investment Office Ltd,,225438175
Lotte Corporation,,
Lottery & Wagering Solutions Inc,CCA Cos. Inc.|CCA COS INC|CCA Companies Inc|Lottery and Wagering Solutions Inc.,168499452
Louis Sanderson,,212574847
Louisiana Department of Justice,Louisiana Justice Department|office of the Louisiana State Attorney General|office of Louisiana attorney general|Louisiana Office of the Attorney General|Louisiana Attorney General's Office,809927080
Louisiana Department of Natural Resources,Louisiana Natural Resources Department|Louisiana Dept. of Natural Resources|Louisiana Natural Resources Dept.,809927387
Love Hemp Group PLC,World High Life PLC|World High Life Ltd,224678764
"Love International Group, Inc",,
"LowerMyBills, Inc","LowerMyBills Inc|Lowermybills.com|LowerMyBills, Inc|LowerMyBills.com Inc.|Lowermybills com",122483238
Loys Wirtschaftsdienst GmbH,,313815433
Lrn Transport As,,
Lucky Duck Productions,LRB Services Inc,604120568
LumaPath Inc,,800364353
Lund Food Holdings Inc,Byerly's Inc|Byerlys Inc|Byerly s Inc|Lunds Food Stores,961566502
Lundin Gold Inc.,Aurelian Resources Inc|Fortress Resources Inc|Fortress Minerals Corp|Fortress IT Corp,241014229
Luther College,,041100918
"Luxshare Precision Industry Co., Ltd.","Shenzhen Luxshare Precision Industry Co., LTD.|Luxshare Precision Industry Co., Ltd.|立訊精密工業|深圳立讯精密|立讯精密工业股份有限公司|深圳立讯精密工业股份有限公司|立讯精密工业|Luxshare Precision Industry Company Limited|立讯精密|深圳立訊精密|立訊精密|立訊精密工業股份有限公司|深圳立訊精密工業股份有限公司|Shenzhen Luxshare Precision",545323545
Lycos Asia,,894726421
Lyndon Inversiones SA SICAV,,461751419
Lyntex Pty. Ltd.,,
Lynx Technologies Inc,,175159011
M - mart Inc,株式会社Mマート|M-mart Inc|Mマート|M - mart Inc,695695200
M J Gleeson Group Limited,GLEESON MJ CONTRACTORS|Gleeson (M.J.) Group PLC|Gleeson Group PLC|M J Gleeson Group PLC|Gleeson Homes Ltd|MJ Gleeson PLC|GLEESON GROUP|MJ Gleeson Group PLC|MJ Gleeson Group Limited,216079517
M N T LTD,,253519607
M O M INTERNATIONAL,,396777443
M Squared Software And Services Private Limited,,
M-FiTEC International Ltd,,539149693
M. Arthur Gensler Jr & Associates Inc,,
M.E. Zukerman & Co. Inc.,ME Zukerman & Co Inc|ME Zukerman Energy Investors Inc|ME Zukerman and Co Inc|M E Zukerman & Co Inc|M.E. Zukerman Energy Investors Inc,783754237
M1 Engineering Ltd,M1 Engineering Holdings Limited|M1Engineering Limited,213080716
MACCONVILLES (EA),,232102525
MACLEAN QUIN PLANT,,229608351
MAGAZINE HOUSE,,691485759
MAGNET WORLD TRAVEL,,211905898
MAIR GOLDEN MOMENTS,,398188474
MAIRDUMONT GmbH & Co. KG,Hause DuMont|Falk Verlag|Escapio|Koelner Stadt-Anzeiger|MairDuMont|Mairs Geographischer Verlag|TripsByTips GmbH|Verlagsgruppe Mair|Kölner Stadt-Anzeiger|DuMont Reiseverlag|Mairs Verlag|Mair DuMont|Falk Marco Polo Interactive GmbH,315804690
MANIC INC,,200156938
MANOS SA,Manos Holidays|Manos S.A.,728467270
MAP Internet Inc,Mallard Electronics,962375101
MAQ Software,,006650365
MAR Inc,,062021639
MARBLEHEAD,MARBLEHEAD TRADING,569577679
MARINE PROJECT DEVELOPMENT LTD,,228079414
MARTIN POTTINGER ASSOCIATES  (ARCH),,239063563
MARUNI MOKKO,,700567175
MASH Holdings Limited,St James Holdings Ltd.|Mike Ashley,211588429
MASNA KROMERIZ AS,,366931889
MASSINGBERD (HARROGATE),,
MASTERPIECE PRODUCTS,,423373096
MAXI STORE MANUFACTURING,,390285732
MAYER INVESTMENT,,662662212
MBS Logistics GmbH,,
MCINTYRE CONSULTANTS (PR),,236157231
MCIVER JENKIN ASSOCIATES,,290245869
MD Helicopters Inc,McDonnell Douglas Helicopter Systems,054313767
MEDI PROJECTS,,595536947
MEDIA LINKS Co Ltd,"株式会社メディアグローバルリンクス|MEDIA LINKS CO.,LTD.|Media　Global　Links　Co.,　Ltd|メディアグローバルリンクス|メディアグローバル|株式会社メディアリンクス|Media Links Company Limited",701818700
MEDIA SCREENS,,
MEDIA VIGILANT,,766829956
MEDITERRANEA DE INVERSIONES,MEDISA|MEDISA 2 000,466142635
MEG RIVERS CAKES,,210338321
MELBO CLOTHING,,690649058
MERCHANT CAPITAL CORP,,590101069
MFL India Ltd.,My Fair Lady Limited,871111580
MFS Government Markets Income Trust,MFS GOVERNMENT MARKETS INCOME TRUST|MFS GOVT MKTS INCOME TR|MGF,157781162
MICHAEL BLAND CONSULTANCY,,506605542
MID WARWICKSHIRE MOTORS,,290565837
MILLSOFT,,
MISKOLCI HUTOIPARI RT,,364738013
MIWON HEAVY MACHINERY,,687782417
MKL Mitteldeutsche Kunststoff-Logistik GmbH & Co. KG,,
ML Capital Group Inc.,"Rbel Entertainment, Inc.|Darwin Data Capital, Inc.|SILVERBACK UNITED, INC.",045506241
MLEKARNA STRIBRO AS,MLEKARNA STRIBRO,644354649
MMA,,
MODAFIL,,442832499
MODULEC TECHNOLOGY,,504293481
MOL Global Inc,"MOL Global Inc|MOL Global|MOL全球有限公司|MOL Global Pte Ltd|MOL全球|MOL Global, Inc. American Depositary Shares",534408965
MONDAQ LTD,,581591393
MONOLIT-Center OOO,,
MOORBANK SECURITIES,,502340060
MOORE EADY,,218113249
MORTON MACHINE CO LTD,MORTON MACHINE CO,494324171
MOSFURNITURA,,645183237
MPS Limited,HighWire Press Ltd|TSI Evolve|Tata Interactive Systems AG|MPS Technologies Limited|MPS Ltd.|Interactive Composition Corporation|Electronic Publishing Services|Tata Interactive Systems GmbH|Magplus|Macmillan India Limited|MPS North America LLC|Tata Interactive Systems India,916008961
MPT Group Joint Stock Company,Truong Tien Group Joint Stock Company|MPT Group JSC|MPT Group Joint Stock Company|Truong Tien Group JSC|Phu Thanh Garment JSC|Phu Thanh Garment Joint Stock Company,555296462
MRP Agro Limited,Mrp Agro Private Limited,861371927
MRS Logistica SA,,901206532
MS Amlin Underwriting Ltd,2001|Amlin Underwriting Ltd,501371223
MSP Corporation,,174413419
MSPL Limited,MSPL Limited|Mineral Sales Pte Ltd,650238090
MTD Products Inc,"MTD Products AG|GUTBROD AG|Core Outdoor Power|Precise Path Robotics, Inc.",004196515
MULTI MARINE SERVICES,,497106484
MUNCK,,519160337
MURPHY RALSTON  AND PARTNERS (EA),,988656849
MUrgency Inc,,079583693
Ma Sante Facile,,
MacNeill Engineering Company Inc,,051795466
Macdonald Realty Ltd,,
Macedo & Coelho SA,MACEDO AND COELHO SGPS,454644345
Madeira Minerals Ltd.,,243746349
Madhya Bharat Agro Products Limited,MBAPL,859170087
Madison Keats,,064519197
Madison Road Entertainment Llc,,142796114
Madkom Sp z.o.o.,MADKOM S.A.,522221746
Maeda Seisakusho Co Ltd,MAEDA SEISAKUSHO|前田製作所|株式会社前田製作所,690732771
Maedakiko Co. Ltd.,,
Mag Consulting,,
Magic Software Enterprises Ltd,Magic- Hands B.V .|Magix Integration|MAGIC SOFTWARE ENTERPRISES INC|Roshtov Software Industries Ltd|Magic Software Enterprises Limited|MAGIC SOFTWARE ENTERPRISE|MAGIC SOFTWARE ENTERPRISES|Knowledge & Solutions Software B.V.|マジック・ソフトウェア・エンタープライジズ|CoreTech Consulting Group Inc|MAGIC SOFTWARE ENTERPRISES LTD,600052146
Magna Investments PLC,,739624893
Magna Photo Services,MAGNA PHOTO,226640985
Magne Landro AS,,518529144
Magyar Epito Zrt,,
Maharashtra Pollution Control Board,MPCB|Maharashtra State Pollution Control Board,675505989
Mainetti Singapore Pte Limited,,
Majoni Plastics B.V.,,
"Mala Bosna ad, Mala Bosna",,360273285
Malone and Associates,,877885046
Malwarebytes Corp.,"ZeroVulnerabilityLabs, Inc.|Junkware Removal Tool|AdwCleaner|Saferbytes|Binisoft",013807892
Mamain House Co. Ltd.,,
Management Company Aton,,
Managing Company KOMITET Municipal KHOZYAISTVA (Bankruptcy) OOO,,
Manaris (2010) Corporation,Avensys Corp|Avensys Environmental Solutions|Manaris Corporation|C Chip Technology|Keystone Mines Ltd|C-Chip Technologies Corporation|C-Chip North America|Canadian Security Agency Inc,206993904
Mangal Processing Mill Ltd,Mangal Dyeing and Printing Mills Ltd.|Mangal Dyeing & Printing Mills Ltd.,650194731
Manor Money Markets,,296883614
Maquinaria Meyco Sl,,
Maquinas Agricolas Jacto S/A.,,897003513
Marathon Electric Manufacturing,Marathon Electric India Private Limited,006126213
Marbella Country Club SA,,980861785
Mare Nostrum S.A.,,276401358
Margaret Lake Diamonds Inc,JDV Capital Corp,202735742
Marianivske PJSC,"ВАТ ""Мар'янівське""|Мар'янівське|""Мар'янівське""",681045821
Mariella Burani Fashion Group SpA,Revedi SA|Don Gil GmbH|MILA SCHOEN|ITM SpA|Biasia Francesco|Revedi SpA,428006241
Marin,MARIN,268331170
Marina Rinaldi Srl,,438008195
Marinetek Group Oy,Marinetek Latvia SIA|Marinetek Finland Oy|Marinetek UK Ltd|Marinetek DAS Turkey|Marinetek NA|Marinetek Vantaa Factory Oy|Marinetek India|Marinetek Marinas Oy|Marinetek MEA Dubai|Marinetek NCP|Marinetek Construction Oy|Marinetek Sweden AB,538217613
Maritime Resources Corp,BMB Capital Corp.,243842643
Mark Vii Equipment Inc.,,
"MarketTools, Inc.","RawData, Inc.",176692580
Marketing Sciences Limited,,226098564
Marketing Technology Solutions Inc.,,
Markor International Home Furnishings Co Ltd,"美克國際家具股份有限公司|Markor International Furniture Co., Ltd.|美克国际家具股份有限公司|美克國際家居用品股份有限公司|美克家居|美克股份|Markor International Home Furnishings Co., Ltd.|美克国际家居|美克国際家具股フェン有限公司|美克股フェン|美克国际家居用品股份有限公司|A.R.T. Furniture, Inc.|美克国際家具|美克國際家居",544780505
Marocaine de l'Air Comprime,Societe Marocaine de l'Air Comprime SA|STE MAROCAINE DE L AIR COMPRIME SMAC,644302432
Marquee Energy Ltd.,Marquee Energy Ltd|Platform Resources Incorporated|Alberta Oilsands Incorporated,244193442
Marrone Bio Innovations Inc.,Jet Ag|Marrone Organic Innovations Incorporated|Pro Farm Technologies OY|Marrone Bio Innovations Inc,780836248
Marshall Marlow Associates,MARSHALL MARLOW ASSOCIATES,291591196
Martin Guthmann e.K.,Guthmann und Wittenauer Schmuck GmbH,332200091
Martin Peters Bauunternehmung AG,Martin Peters GmbH,315005629
Martin-Harris Construction Co.,Martin-Harris Construction|Martin Harris Construction|Martin-Harris Construction Co.|M & H Enterprises,175813323
Marua Ryutsu Shoji K.K.,,
Marutani Co. Ltd.,,
Maruyoshishoji Co. Ltd.,,
Marwyn Acquisition Co. PLC,Wilmcote Holdings PLC,222969109
Maryland State Highway Administration,Md. State Highway Administration|Maryland's State Highway Administration|Maryland Highway Administration,142498695
Mashreqbank psc,MASHREQ BANK|بنك المشرق|MASHREQ BANK OF DUBAI|Oman Insurance|Oman Insurance Company|MASHREQBANK|Bank of Oman,644906513
Maso Vychod,,366932051
Maspro Denkoh Corporation,マスプロ電工|Maspro Denko Corp.|Maspro Denkoh Corp.,690628532
Material Concepts Inc,,842289923
Matria Healthcare Inc,"Ralin Medical Inc|Quality Oncology Inc|CorSolutions Medical, Inc.|CorSolutions Medical Inc|Cardiac Solutions Inc|CorSolutions, Inc.|Options Unlimited|MyoPoint Inc",933771123
"Matrix Design, LLC",,079495175
"Matsui Construction Co., Ltd.",,
Matthews & Yates Limited,,493851273
Mauguin Citagri,,
Mauri Bus System Srl,,
Mauritania Ministry of Fisheries and Maritime Economy,,
Mauritius Film Development Corporation,Mauritius Film Corporation|Mauritius Film Development Corp,850532036
Mawby & King Limited,,218179232
Max (Thailand) Company Limited,,
Max Life Insurance Ltd,Max New York Life Insurance Co Ltd,915346238
Maxager Technology Inc,,968203588
Maxim Global Berhad,"Maxim Global Berhad|PT Trimegah Karya Utama|Wijaya Baru Manufacturing (Overseas) Sdn Bhd|PT Manunggal Sukses Mandiri|Pacific Chemicals Bhd|TADMAX資源|Wijaya Baru Development Sdn. Bhd.|Wealth Gate Pte Ltd|Suffolk Pte., Ltd.|新威再也|Wijaya Baru Global Bhd|Usama Industries Bhd|TADMAX资源|Chongqing Liangshan Wijaya Food Ltd|Tadmax Resources Bhd|Venture Credit Sdn. Bhd.|Usama Industries Sdn. Bhd.|Wealthgate Pte Ltd|新威再也有限公司",863333394
Maximaa Systems Ltd,,650186158
Maxx Sports TV Inc.,Reconditioned Systems Inc.|RECONDITIONED SYS INC,175550631
May Crest Travel Inc,,105212851
Mayzo Inc,Bio Accutech Inc,188556880
Mc Forsazh,,
McCarrick Construction Company Ltd,,212075543
McGeever,,291101467
McNamara Sails,,233331649
Mdu Investments Limited,,
Mebelfab AD,,673066759
Med Spa Vacations Inc,,042474060
MedApp SA,Yellow Hat S.A.,425762714
MedCap AB,New Science Svenska AB,507864358
MedCore AB,,632177049
MediStaff Corporation,,830438169
Media & Response Specialists,,385497789
Mediaedge:cia,Mediaedge cia|SponsorCom GmbH|Mediaedge: Cia Italy Srl|The Leverage Group,570156240
Mediawan S.A.,Lagardere Studios|Black Dynamite|Good Mood Productions SL|ON Entertainment,267716411
"Medical Marijuana, Inc.",HempMeds(R) Mexico|Berkshire Collection Inc|Medical Marijuana Inc.|HempMeds Mexico|Kannaway LLC|Club Vivanet Inc.|CannaBANK|Hemp Deposit Distribution Corp|HempMeds(TM)|Real Scientific Hemp Oil (RSHO),044712911
Medical Media Television Inc.,Petcare Television Network Inc,142487086
Medical Products Agency of Sweden,Swedish Medical Products Agency|Sweden's Medical Products Agency|Läkemedelsverket|Medical Products Agency in Sweden|Sweden’s Medical Products Agency|Swedish medicines authority|MPA,350583035
Medinet Co Ltd,メディネット,694285698
Mediterranean Bank,,647237473
Meest International Sp Z O O,,
Mega Management GmbH,,312773542
Mega-Info Media Co. Ltd.,Mega-Info Media Company Limited|兆讯传媒广告股份有限公司|兆訊傳媒廣告股份有限公司|Zhaoxun Media Advertising,543545614
Megamedia Corp,メガメディア|MEGAMEDIA COMPUTER CORP|佳錄科技|佳录科技,656160652
Megh Mayur Infra Ltd.,Transoceanic Properties Ltd.|Poddar Infrastructure Limited,725425404
Mehanika a.d. Derventa,,643370088
Mehee Minerals Ltd,,248499451
Meiners Sedema Saaten Gmbh,,344816145
Meiwa Oil Chemical Co. Ltd.,,
Melbana Energy Ltd.,MEO Australia Ltd.|Methanol Australia|escape3d N.L.|MEO Australia Limited|escape3d NL|escape 3d N.L.|MEO Australia|METHANOL AUSTRALIA LIMITED|escape 3d NL|Transworld Seruway Exploration Limited|escape3d.NL|ميلبانا انرجي|Timor Sea Petroleum N.L.|Resource Development International,755106937
Melbourne Enterprises Ltd,萬邦投資|MELBOURNE ENTERPRISES|メルボルンエンタープライズ|万邦投資有限公司,686238650
Melstacorp PLC,Melsta Regal Finance Ltd|Lanka Bell Ltd|Continental Insurance Lanka Ltd|Madulsima Plantations Plc|Balangoda Plantations Plc|Bellvantage Ltd|Distilleries Company of Sri Lanka PLC|Melstacorp Ltd.|Melsta Logistics Ltd,659448455
Mena Real Estate KSCC,شركة مينا العقارية ش.م.ك.م|Mena Real Estate Company|شركة مينا العقارية,534759142
Mentiga Corporation Bhd,MENTIGA CORP BHD|MENTIGA|孟迪甲機構有限公司|孟迪甲机构有限公司|莫迪甲機構有限公司|莫迪甲机构有限公司,652133216
Mepol a.d. Vrbas,Mepol ad,360271395
